ID,price
0,21617.121428559883
1,13229.340145191538
2,33831.88409868584
3,37557.185953780405
4,21676.677588858984
5,19378.830580245896
6,40435.157160690746
7,32026.72351810831
8,28784.00173837997
9,21404.772856906027
10,18065.61788293179
11,26271.818351282578
12,23335.298240841374
13,32154.198366629284
14,25600.55646290652
15,22394.413069305447
16,20427.021573664864
17,28839.812028648244
18,27120.13512955657
19,4996.151493169993
20,25886.5366979514
21,43222.3664052431
22,25968.977312400424
23,23110.53159303025
24,10620.716162908626
25,19598.574817027264
26,34007.9530077664
27,22115.307909864834
28,39697.02325729546
29,43912.880057134316
30,32994.788427612184
31,15406.28568459096
32,22400.581379420197
33,29763.292793333232
34,44143.40904728698
35,21599.73940120579
36,34657.06847125005
37,25678.762613150404
38,24261.507850372116
39,11276.295820806365
40,22957.420165809308
41,17835.60108296097
42,22469.537971591795
43,13339.112379679817
44,16826.82573101824
45,-8600.295120382463
46,4115.010524540896
47,14755.30057776687
48,12452.959444207634
49,40423.60175044956
50,11771.956109767292
51,43478.08545688135
52,30646.130450569843
53,50153.18334295697
54,48479.59457402487
55,14388.05693920244
56,28145.75757240374
57,37092.97734658648
58,27022.86783324454
59,26059.83181966588
60,21094.21969677272
61,22930.258104081215
62,23718.35277144122
63,39125.778634420814
64,42466.729949163346
65,11445.026759092842
66,21669.968581064135
67,20182.83586857444
68,12490.552998374795
69,8427.421111638425
70,23752.50958310703
71,16314.300066782504
72,25181.79820985036
73,19926.787848133416
74,14867.826605864146
75,20463.434228348386
76,15658.643276762352
77,22862.00838006915
78,20061.712748950955
79,45420.38327444533
80,42645.393439068015
81,32707.92262442653
82,14052.787115019812
83,17954.04810640336
84,14904.963508980749
85,25211.827722234557
86,47924.49976637568
87,20436.919539259976
88,26898.82563880395
89,28127.721681973562
90,23273.48482998195
91,22576.906393680598
92,9721.569909319373
93,24968.231750030784
94,16457.789151289315
95,29626.413399833313
96,23640.86656832764
97,50340.650925835434
98,70602.50407697921
99,15033.152307702952
100,21372.63552377311
101,49101.162092705024
102,21083.065947898187
103,24248.15454492204
104,27496.06020413373
105,28556.701217382062
106,52951.04658361167
107,21436.88891963569
108,23825.893598186714
109,7287.26906231917
110,40755.44147265876
111,20014.45480182225
112,20171.48737401154
113,32747.042899720756
114,22297.051849230556
115,31854.02488373726
116,31527.537787068024
117,27756.72849596815
118,29186.010685736877
119,16410.4909160192
120,23209.3651242547
121,25247.03730617983
122,24921.568922912018
123,12294.34284557929
124,30526.782430052524
125,24607.105223125858
126,18959.65364141923
127,31830.134851588682
128,24976.99960608176
129,37289.58537294994
130,19432.097234535755
131,23864.731385173658
132,26052.013347945336
133,28283.2934962343
134,17280.328750297293
135,2583.466976520296
136,19614.147065122677
137,17600.118231770542
138,22323.360765549947
139,28521.436918618645
